City,School,Address,Type,Start,End,Grade,Count
札幌市立,円山小学校,札幌市中央区北1条西25丁目,学級閉鎖,2015/03/10,2015/03/15,１年,37
札幌市立,米里中学校,札幌市白石区米里1条4丁目5番1号,学級閉鎖,2015/03/10,2015/03/13,２年,35
札幌市立,米里中学校,札幌市白石区米里1条4丁目5番1号,学級閉鎖,2015/03/10,2015/03/13,２年,35
札幌市立,屯田西小学校,札幌市北区屯田6条10丁目3-1,学級閉鎖,2015/03/11,2015/03/13,６年,32
札幌市立,米里中学校,札幌市白石区米里1条4丁目5番1号,学級閉鎖,2015/03/11,2015/03/13,１年,29
札幌市立,厚別西小学校,札幌市厚別区厚別西３条１丁目３番１号,学級閉鎖,2015/03/12,2015/03/14,２年,22
札幌市立,前田小学校,札幌市手稲区前田6条11丁目3-1,学級閉鎖,2015/03/12,2015/03/15,６年,29
札幌市立,円山小学校,札幌市中央区北1条西25丁目,学級閉鎖,2015/03/13,2015/03/16,１年,37
