City,School,Address,Type,Start,End,Grade,Count
札幌市立,二条小学校,札幌市中央区南２条西１５丁目,学級閉鎖,2014/12/20,2014/12/24,２年,26
札幌市立,宮の森小学校,札幌市中央区宮の森4条6丁目1,学級閉鎖,2014/12/20,2014/12/24,１年,33
札幌市立,宮の森小学校,札幌市中央区宮の森4条6丁目1,学級閉鎖,2014/12/23,2014/12/25,２年,35
札幌市立,あいの里東小学校,札幌市北区あいの里三条七丁目,学年閉鎖,2014/12/23,2014/12/24,６年,95
札幌市立,苗穂小学校,札幌市東区北9条東13丁目,学級閉鎖,2014/12/23,2014/12/24,３年,36
札幌市立,苗穂小学校,札幌市東区北9条東13丁目,学年閉鎖,2014/12/23,2014/12/24,４年,42
札幌市立,美香保小学校,札幌市東区北１８条東,学級閉鎖,2014/12/23,2014/12/24,２年,25
札幌市立,元町小学校,札幌市東区北25条東17丁目,学級閉鎖,2014/12/23,2014/12/24,２年,31
札幌市立,元町小学校,札幌市東区北25条東17丁目,学級閉鎖,2014/12/23,2014/12/24,５年,29
札幌市立,元町小学校,札幌市東区北25条東17丁目,学級閉鎖,2014/12/23,2014/12/24,６年,39
札幌市立,元町小学校,札幌市東区北25条東17丁目,学級閉鎖,2014/12/23,2014/12/24,６年,38
札幌市立,本町小学校,札幌市東区本町2条7丁目1-30,学級閉鎖,2014/12/23,2014/12/24,２年,26
札幌市立,栄西小学校,札幌市東区北39条東4丁目1-1,学年閉鎖,2014/12/23,2014/12/24,１年,62
札幌市立,栄西小学校,札幌市東区北39条東4丁目1-1,学年閉鎖,2014/12/23,2014/12/24,３年,57
札幌市立,栄西小学校,札幌市東区北39条東4丁目1-1,学年閉鎖,2014/12/23,2014/12/24,６年,38
札幌市立,白石小学校,札幌市白石区本通1丁目北4番１号,学級閉鎖,2014/12/23,2014/12/24,１年,29
札幌市立,白石小学校,札幌市白石区本通1丁目北4番１号,学級閉鎖,2014/12/23,2014/12/24,１年,27
札幌市立,白石小学校,札幌市白石区本通1丁目北4番１号,学年閉鎖,2014/12/23,2014/12/24,４年,72
札幌市立,大谷地小学校,札幌市白石区本通18丁目南1-1,学級閉鎖,2014/12/23,2014/12/25,４年,35
札幌市立,本郷小学校,札幌市白石区南郷通10丁目南３－１,学年閉鎖,2014/12/23,2014/12/24,１年,57
札幌市立,本郷小学校,札幌市白石区南郷通10丁目南３－１,学年閉鎖,2014/12/23,2014/12/24,２年,51
札幌市立,本郷小学校,札幌市白石区南郷通10丁目南３－１,学年閉鎖,2014/12/23,2014/12/24,３年,62
札幌市立,本郷小学校,札幌市白石区南郷通10丁目南３－１,学年閉鎖,2014/12/23,2014/12/24,４年,47
札幌市立,南郷小学校,札幌市白石区本郷通4丁目南３番１号,学級閉鎖,2014/12/23,2014/12/24,１年,25
札幌市立,南郷小学校,札幌市白石区本郷通4丁目南３番１号,学級閉鎖,2014/12/23,2014/12/24,２年,35
札幌市立,本通小学校,札幌市白石区平和通9丁目,学級閉鎖,2014/12/23,2014/12/24,３年,33
札幌市立,北郷小学校,札幌市白石区北郷4条5丁目１番１号,学級閉鎖,2014/12/23,2014/12/24,２年,31
札幌市立,北郷小学校,札幌市白石区北郷4条5丁目１番１号,学級閉鎖,2014/12/23,2014/12/24,４年,39
札幌市立,北郷小学校,札幌市白石区北郷4条5丁目１番１号,学年閉鎖,2014/12/23,2014/12/24,５年,129
札幌市立,北郷小学校,札幌市白石区北郷4条5丁目１番１号,学年閉鎖,2014/12/23,2014/12/24,６年,142
札幌市立,西白石小学校,札幌市白石区中央3条5丁目,学年閉鎖,2014/12/23,2014/12/25,３年,28
札幌市立,北都小学校,札幌市白石区北郷3条11丁目,学級閉鎖,2014/12/23,2014/12/24,５年,40
札幌市立,米里小学校,札幌市白石区米里1条3丁目8-1,学級閉鎖,2014/12/23,2014/12/24,１年,26
札幌市立,米里小学校札幌市白石区米里1条3丁目8-1,学級閉鎖,2014/12/23,2014/12/24,４年,31
札幌市立,大谷地東小学校,札幌市厚別区大谷地東,学年閉鎖,2014/12/23,2014/12/24,１年,61
札幌市立,大谷地東小学校,札幌市厚別区大谷地東,学級閉鎖,2014/12/23,2014/12/24,３年,29
札幌市立,大谷地東小学校,札幌市厚別区大谷地東,学級閉鎖,2014/12/23,2014/12/24,５年,40
札幌市立,大谷地東小学校,札幌市厚別区大谷地東,学年閉鎖,2014/12/23,2014/12/24,６年,93
札幌市立,もみじの森小学校,札幌市厚別区もみじ台西3丁目4-1,学級閉鎖,2014/12/23,2014/12/25,２年,26
札幌市立,もみじの森小学校,札幌市厚別区もみじ台西3丁目4-1,学級閉鎖,2014/12/23,2014/12/25,２年,25
札幌市立,豊平小学校,札幌市豊平区豊平5条7丁目1-2,学級閉鎖,2014/12/23,2014/12/25,３年,36
札幌市立,豊平小学校,札幌市豊平区豊平5条7丁目1-2,学年閉鎖,2014/12/23,2014/12/25,４年,53
札幌市立,南月寒小学校,札幌市豊平区月寒西４条８丁目２番１号,学年閉鎖,2014/12/23,2014/12/24,１年,92
札幌市立,南月寒小学校,札幌市豊平区月寒西４条８丁目２番１号,学年閉鎖,2014/12/23,2014/12/24,２年,103
