City,School,Address,Type,Start,End,Grade,Count
札幌市立,青葉小学校,札幌市厚別区青葉町6丁目,学年閉鎖,2015/02/14,2015/02/17,６年,32
札幌市立,手稲山口小学校,札幌市手稲区曙11条2丁目7番1号,学級閉鎖,2015/02/14,2015/02/17,３年,33
札幌市立,前田中央小学校,札幌市手稲区前田８条１２丁目２－１,学級閉鎖,2015/02/14,2015/02/18,４年,27
札幌市立,前田中央小学校,札幌市手稲区前田８条１２丁目２－１,学級閉鎖,2015/02/14,2015/02/18,４年,27
札幌市立,中央小学校,札幌市中央区大通東6丁目,学級閉鎖,2015/02/17,2015/02/19,１年,30
札幌市立,中央小学校,札幌市中央区大通東6丁目,学級閉鎖,2015/02/17,2015/02/19,１年,31
札幌市立,太平小学校,札幌市北区篠路一条二丁目６－２０,学級閉鎖,2015/02/17,2015/02/19,３年,35
札幌市立,元町小学校,札幌市東区北25条東17丁目,学級閉鎖,2015/02/17,2015/02/19,５年,30
札幌市立,小野幌小学校,札幌市厚別区厚別東二条四丁目５番１号,学級閉鎖,2015/02/17,2015/02/19,６年,33
札幌市立,青葉小学校,札幌市厚別区青葉町6丁目,学年閉鎖,2015/02/17,2015/02/20,４年,34
札幌市立,羊丘小学校,札幌市豊平区月寒東1条16丁目,学級閉鎖,2015/02/17,2015/02/19,５年,28
札幌市立,石山南小学校,札幌市南区石山2条8丁目８－１,学年閉鎖,2015/02/17,2015/02/19,３年,39
札幌市立,石山南小学校,札幌市南区石山2条8丁目８－１,学年閉鎖,2015/02/17,2015/02/19,４年,42
札幌市立,西園小学校,札幌市西区西野一条七丁目４－１,学級閉鎖,2015/02/17,2015/02/19,１年,28
札幌市立,手稲中央小学校,札幌市手稲区手稲本町3条2丁目,学級閉鎖,2015/02/17,2015/02/20,２年,33
