City,School,Address,Type,Start,End,Grade,Count
札幌市立,桑園小学校,札幌市中央区北8条西17丁目,学級閉鎖,2015/01/28,2015/01/30,１年,30
札幌市立,桑園小学校,札幌市中央区北8条西17丁目,学級閉鎖,2015/01/28,2015/01/30,５年,32
札幌市立,太平南小学校,札幌市北区太平1条1丁目,学級閉鎖,2015/01/28,2015/01/30,３年,26
札幌市立,美香保小学校,札幌市東区北１８条東,学級閉鎖,2015/01/28,2015/01/30,２年,26
札幌市立,しらかば台小学校,札幌市豊平区月寒東4条18丁目10番43号,学級閉鎖,2015/01/28,2015/02/01,５年,30
札幌市立,稲穂中学校,札幌市手稲区稲穂４条２丁目１８－１０,学級閉鎖,2015/01/28,2015/01/30,３年,31
札幌市立,新琴似緑小学校,札幌市北区新琴似十条十一丁目,学級閉鎖,2015/01/29,2015/02/01,２年,32
札幌市立,藻岩北小学校,札幌市南区川沿2条3丁目7-1,学級閉鎖,2015/01/30,2015/02/02,１年,25
札幌市立,藻岩中学校,札幌市南区川沿7条,学級閉鎖,2015/01/30,2015/02/01,１年,33
札幌市立,藻岩中学校,札幌市南区川沿7条,学級閉鎖,2015/01/30,2015/02/01,１年,34
札幌市立,藻岩中学校,札幌市南区川沿7条,学級閉鎖,2015/01/30,2015/02/01,１年,34
札幌市立,藻岩中学校,札幌市南区川沿7条,学級閉鎖,2015/01/30,2015/02/01,１年,34
