City,School,Address,Type,Start,End,Grade,Count
札幌市立,幌南小学校,札幌市中央区南21条西5丁目,学級閉鎖,2014/12/20,2014/12/23,１年,36
札幌市立,二条小学校,札幌市中央区南２条西１５丁目,学級閉鎖,2014/12/20,2014/12/24,２年,26
札幌市立,宮の森小学校,札幌市中央区宮の森4条6丁目1,学級閉鎖,2014/12/18,2014/12/22,５年,39
札幌市立,宮の森小学校,札幌市中央区宮の森4条6丁目1,学級閉鎖,2014/12/20,2014/12/24,１年,33
札幌市立,伏見小学校,札幌市中央区南18条西15丁目１－１,学級閉鎖,2014/12/20,2014/12/23,５年,38
札幌市立,あいの里西小学校,札幌市北区あいの里二条三丁目9番1号,学年閉鎖,2014/12/20,2014/12/23,６年,84
札幌市立,苗穂小学校,札幌市東区北9条東13丁目,学級閉鎖,2014/12/20,2014/12/23,１年,28
札幌市立,苗穂小学校,札幌市東区北9条東13丁目,学年閉鎖,2014/12/20,2014/12/23,６年,68
札幌市立,本町小学校,札幌市東区本町2条7丁目1-30,学級閉鎖,2014/12/20,2014/12/23,１年,32
札幌市立,本町小学校,札幌市東区本町2条7丁目1-30,学級閉鎖,2014/12/20,2014/12/23,３年,28
札幌市立,栄西小学校,札幌市東区北39条東4丁目1-1,学級閉鎖,2014/12/20,2014/12/23,２年,27
札幌市立,栄西小学校,札幌市東区北39条東4丁目1-1,学級閉鎖,2014/12/20,2014/12/23,４年,33
札幌市立,栄西小学校,札幌市東区北39条東4丁目1-1,学年閉鎖,2014/12/20,2014/12/23,５年,60
札幌市立,栄西小学校,札幌市東区北39条東4丁目1-1,学級閉鎖,2014/12/20,2014/12/23,６年,38
札幌市立,元町北小学校,札幌市東区北31条東14丁目1番1号,学級閉鎖,2014/12/20,2014/12/23,１年,27
札幌市立,東光小学校,札幌市東区本町2条1丁目,学級閉鎖,2014/12/20,2014/12/23,３年,37
札幌市立,白石小学校,札幌市白石区本通1丁目北4番１号,学級閉鎖,2014/12/20,2014/12/23,,7
札幌市立,白石小学校,札幌市白石区本通1丁目北4番１号,学級閉鎖,2014/12/20,2014/12/23,,3
札幌市立,白石小学校,札幌市白石区本通1丁目北4番１号,学級閉鎖,2014/12/20,2014/12/23,,5
札幌市立,白石小学校,札幌市白石区本通1丁目北4番１号,学級閉鎖,2014/12/20,2014/12/23,,8
