City,School,Address,Type,Start,End,Grade,Count
札幌市立,幌南小学校,中央区南21条西5丁目,学級閉鎖,2014/12/12,2014/12/15,２年,27
札幌市立,幌南小学校,中央区南21条西5丁目,学級閉鎖,2014/12/12,2014/12/15,６年,33
札幌市立,緑丘小学校,中央区南10条西22丁目,学級閉鎖,2014/12/13,2014/12/15,４年,40
札幌市立,緑丘小学校,中央区南10条西22丁目,学級閉鎖,2014/12/13,2014/12/15,６年,36
札幌市立,緑丘小学校,中央区南10条西22丁目,学級閉鎖,2014/12/13,2014/12/15,６年,35
札幌市立,宮の森小学校,中央区宮の森4条6丁目1,学級閉鎖,2014/12/13,2014/12/17,２年,34
札幌市立,宮の森小学校,中央区宮の森4条6丁目1,学級閉鎖,2014/12/13,2014/12/17,５年,40
札幌市立,伏見小学校,中央区南18条西15丁目１－１,学級閉鎖,2014/12/12,2014/12/16,５年,38
札幌市立,伏見小学校,中央区南18条西15丁目１－１,学級閉鎖,2014/12/12,2014/12/16,５年,38
札幌市立,明園小学校,東区北19条東14丁目1-1,学級閉鎖,2014/12/13,2014/12/16,６年,37
札幌市立,札苗北小学校,東区東苗穂9条3丁目2-3,学級閉鎖,2014/12/13,2014/12/16,３年,37
札幌市立,札苗北小学校,東区東苗穂9条3丁目2-3,学級閉鎖,2014/12/13,2014/12/16,６年,31
札幌市立,札苗緑小学校,東区東苗穂１３条４丁目９－３０,学級閉鎖,2014/12/12,2014/12/15,３年,40
札幌市立,大谷地小学校,白石区本通18丁目南1-1,学級閉鎖,2014/12/13,2014/12/15,３年,28
札幌市立,菊水小学校,白石区菊水元町2条3丁目2-14,学級閉鎖,2014/12/12,2014/12/15,１年,28
札幌市立,川北小学校,白石区川北4条2丁目,学級閉鎖,2014/12/12,2014/12/15,１年,30
札幌市立,川北小学校,白石区川北4条2丁目,学級閉鎖,2014/12/12,2014/12/15,４年,39
札幌市立,川北小学校,白石区川北4条2丁目,学級閉鎖,2014/12/13,2014/12/16,５年,36
札幌市立,厚別東小学校,厚別区厚別東4条8丁目,学級閉鎖,2014/12/13,2014/12/16,２年,27
札幌市立,東山小学校,豊平区平岸4条11丁目,学級閉鎖,2014/12/13,2014/12/16,４年,35
札幌市立,北野台小学校,清田区北野4条5丁目4番80号,学級閉鎖,2014/12/13,2014/12/16,１年,26
札幌市立,琴似中央小学校,西区八軒7条東1丁目,学級閉鎖,2014/12/13,2014/12/15,１年,32
札幌市立,屯田北中学校,北区屯田9条4丁目,学級閉鎖,2014/12/12,2014/12/15,２年,38
札幌市立,栄南中学校,東区北３６条東１６丁目１番１号,学級閉鎖,2014/12/13,2014/12/16,１年,33
札幌市立,平岡中学校,清田区平岡2条5丁目4番10号,学級閉鎖,2014/12/13,2014/12/15,２年,33
札幌市立,南が丘中学校,南区南沢2条1丁目17番1号,学級閉鎖,2014/12/13,2014/12/15,２年,31
