City,School,Address,Type,Start,End,Grade,Count
札幌市立,新川小学校,札幌市北区新川5条15丁目,学級閉鎖,2015/02/03,2015/02/08,,5
札幌市立,屯田西小学校,札幌市北区屯田6条10丁目3-1,学級閉鎖,2015/02/03,2015/02/06,,1
札幌市立,北園小学校,札幌市東区北25条東4丁目,学年閉鎖,2015/02/03,2015/02/06,,5
札幌市立,伏見小学校,札幌市中央区南18条西15丁目1-1,学級閉鎖,2015/02/04,2015/02/08,,2
札幌市立,新川小学校,札幌市北区新川5条15丁目,学級閉鎖,2015/02/04,2015/02/06,,5
札幌市立,太平南小学校,札幌市北区太平1条1丁目,学級閉鎖,2015/02/04,2015/02/06,,4
札幌市立,美香保小学校,札幌市東区北18条東,学級閉鎖,2015/02/04,2015/02/06,,1
札幌市立,上野幌東小学校,札幌市厚別区上野幌2条4丁目,学級閉鎖,2015/02/04,2015/02/06,,1
札幌市立,藻岩北小学校,札幌市南区川沿2条3丁目7-1,学級閉鎖,2015/02/04,2015/02/06,,1
札幌市立,二十四軒小学校,札幌市西区二十四軒二条3丁目,学級閉鎖,2015/02/04,2015/02/06,,6
札幌市立,厚別北小学校,札幌市厚別区厚別北2条3丁目3-1,学級閉鎖,2015/02/05,2015/02/07,,2
札幌市立,前田中央小学校,札幌市手稲区前田8条12丁目2-1,学級閉鎖,2015/02/05,2015/02/08,,5
札幌市立,新琴似中学校,札幌市北区新琴似七条4丁目,学級閉鎖,2015/02/05,2015/02/06,,2
札幌市立,元町中学校,札幌市東区北28条東20丁目1-1,学級閉鎖,2015/02/05,2015/02/08,,1
札幌市立,平岸中学校,札幌市豊平区平岸一条二十一丁目,学級閉鎖,2015/02/05,2015/02/08,,1
札幌市立,青葉小学校,札幌市厚別区青葉町6丁目,学級閉鎖,2015/02/06,2015/02/09,,1
札幌市立,琴似小学校,札幌市西区琴似二条,学級閉鎖,2015/02/06,2015/02/08,,4
札幌市立,富丘小学校,札幌市手稲区富丘一条,学級閉鎖,2015/02/06,2015/02/09,,5
札幌市立,新陵小学校,札幌市手稲区新発寒6条6丁目3-1,学級閉鎖,2015/02/06,2015/02/08,,1
札幌市立,稲積中学校,札幌市手稲区前田四条五丁目二番一号,学級閉鎖,2015/02/06,2015/02/08,,1
