City,School,Address,Type,Start,End,Grade,Count
札幌市立,山鼻小学校,中央区南14条西10丁目１,学級閉鎖,2014/12/09,2014/12/12,５年,39
札幌市立,幌西小学校,中央区南10条西17丁目,学級閉鎖,2014/12/09,2014/12/11,１年,31
札幌市立,幌西小学校,中央区南10条西17丁目,学級閉鎖,2014/12/09,2014/12/11,１年,30
札幌市立,幌西小学校,中央区南10条西17丁目,学級閉鎖,2014/12/09,2014/12/11,２年,32
札幌市立,幌西小学校,中央区南10条西17丁目,学級閉鎖,2014/12/09,2014/12/11,２年,31
札幌市立,幌西小学校,中央区南10条西17丁目,学年閉鎖,2014/12/09,2014/12/11,３年,145
札幌市立,幌西小学校,中央区南10条西17丁目,学年閉鎖,2014/12/09,2014/12/11,４年,163
札幌市立,幌西小学校,中央区南10条西17丁目,学級閉鎖,2014/12/09,2014/12/11,５年,33
札幌市立,幌西小学校,中央区南10条西17丁目,学級閉鎖,2014/12/09,2014/12/11,５年,33
札幌市立,幌西小学校,中央区南10条西17丁目,学級閉鎖,2014/12/09,2014/12/11,５年,33
札幌市立,幌西小学校,中央区南10条西17丁目,学級閉鎖,2014/12/09,2014/12/11,５年,35
札幌市立,幌西小学校,中央区南10条西17丁目,学級閉鎖,2014/12/09,2014/12/11,６年,31
札幌市立,幌西小学校,中央区南10条西17丁目,学級閉鎖,2014/12/09,2014/12/11,６年,32
札幌市立,幌南小学校,中央区南21条西5丁目,学級閉鎖,2014/12/09,2014/12/11,１年,33
札幌市立,幌南小学校,中央区南21条西5丁目,学級閉鎖,2014/12/09,2014/12/11,２年,28
札幌市立,幌南小学校,中央区南21条西5丁目,学級閉鎖,2014/12/09,2014/12/11,２年,28
札幌市立,幌南小学校,中央区南21条西5丁目,学級閉鎖,2014/12/09,2014/12/11,３年,29
札幌市立,幌南小学校,中央区南21条西5丁目,学級閉鎖,2014/12/09,2014/12/11,,8
札幌市立,円山小学校,中央区北1条西25丁目,学級閉鎖,2014/12/06,2014/12/10,３年,37
札幌市立,円山小学校,中央区北1条西25丁目,学級閉鎖,2014/12/09,2014/12/13,４年,35
札幌市立,円山小学校,中央区北1条西25丁目,学年閉鎖,2014/12/09,2014/12/13,５年,131
札幌市立,日新小学校,中央区北8条西25丁目,学級閉鎖,2014/12/09,2014/12/11,１年,33
札幌市立,日新小学校,中央区北8条西25丁目,学級閉鎖,2014/12/09,2014/12/11,３年,34
札幌市立,緑丘小学校,中央区南10条西22丁目,学級閉鎖,2014/12/09,2014/12/11,６年,36
札幌市立,新陽小学校,北区北27条西14丁目,学級閉鎖,2014/12/06,2014/12/09,１年,33
札幌市立,新陽小学校,北区北27条西14丁目,学級閉鎖,2014/12/06,2014/12/09,２年,25
札幌市立,札幌小学校,東区伏古一条二丁目１－３１,学級閉鎖,2014/12/09,2014/12/11,３年,25
札幌市立,丘珠小学校,東区丘珠町593番地3,学年閉鎖,2014/12/09,2014/12/11,１年,46
札幌市立,丘珠小学校,東区丘珠町593番地3,学年閉鎖,2014/12/09,2014/12/11,２年,45
札幌市立,丘珠小学校,東区丘珠町593番地3,学級閉鎖,2014/12/09,2014/12/11,３年,31
札幌市立,丘珠小学校,東区丘珠町593番地3,学級閉鎖,2014/12/09,2014/12/11,４年,22
札幌市立,札苗小学校,東区東苗穂7条2丁目3-1,学級閉鎖,2014/12/06,2014/12/09,４年,30
札幌市立,札苗小学校,東区東苗穂7条2丁目3-1,学級閉鎖,2014/12/06,2014/12/09,６年,29
