City,School,Address,Type,Start,End,Grade,Count
札幌市立,円山小学校,札幌市中央区北1条西25丁目,学級閉鎖,2015/03/10,2015/03/12,１年,37
札幌市立,光陽小学校,札幌市北区新琴似五条11丁目4番1号,学年閉鎖,2015/03/10,2015/03/12,４年,67
札幌市立,澄川西小学校,札幌市南区澄川二条５丁目7-2,学年閉鎖,2015/03/10,2015/03/12,３年,38
札幌市立,藻岩南小学校,札幌市南区川沿18条2丁目１－１５,学年閉鎖,2015/03/10,2015/03/12,３年,40
札幌市立,稲穂小学校,札幌市手稲区稲穂4条5丁目12番5号,学級閉鎖,2015/03/10,2015/03/12,３年,38
札幌市立,米里中学校,札幌市白石区米里1条4丁目5番1号,学級閉鎖,2015/03/10,2015/03/13,２年,35
札幌市立,米里中学校,札幌市白石区米里1条4丁目5番1号,学級閉鎖,2015/03/10,2015/03/13,２年,35
札幌市立,平岸中学校,札幌市豊平区平岸一条二十一丁目,学級閉鎖,2015/03/10,2015/03/11,１年,33
札幌市立,平岸中学校,札幌市豊平区平岸一条二十一丁目,学級閉鎖,2015/03/10,2015/03/11,１年,33
札幌市立,屯田西小学校,札幌市北区屯田6条10丁目3-1,学級閉鎖,2015/03/11,2015/03/13,６年,32
札幌市立,米里中学校,札幌市白石区米里1条4丁目5番1号,学級閉鎖,2015/03/11,2015/03/13,１年,29
札幌市立,平岸中学校,札幌市豊平区平岸一条二十一丁目,学年閉鎖,2015/03/11,2015/03/11,２年,123
