City,School,Address,Type,Start,End,Grade,Count
札幌市立,幌西小学校,中央区南10条西17丁目,学級閉鎖,2014/12/03,2014/12/05,２年,32
札幌市立,幌西小学校,中央区南10条西17丁目,学級閉鎖,2014/12/03,2014/12/05,５年,33
札幌市立,幌南小学校,中央区南21条西5丁目,学級閉鎖,2014/12/03,2014/12/07,５年,35
札幌市立,札苗小学校,東区東苗穂7条2丁目3-1,学年閉鎖,2014/12/03,2014/12/04,５年,37
札幌市立,札苗小学校,東区東苗穂7条2丁目3-1,学級閉鎖,2014/12/03,2014/12/07,,4
札幌市立,札苗小学校,東区東苗穂7条2丁目3-1,学級閉鎖,2014/12/03,2014/12/07,,6
札幌市立,札苗小学校,東区東苗穂7条2丁目3-1,学級閉鎖,2014/12/03,2014/12/07,,8
札幌市立,菊水小学校,白石区菊水元町2条3丁目2-14,学年閉鎖,2014/12/03,2014/12/05,５年,67
札幌市立,上野幌小学校,厚別区厚別南７丁目９番１号,学年閉鎖,2014/12/03,2014/12/05,４年,27
札幌市立,もみじ台南中学校,厚別区もみじ台南7丁目3-1,学級閉鎖,2014/12/03,2014/12/05,１年,25
