City,School,Address,Type,Start,End,Grade,Count
札幌市立,山鼻小学校,札幌市中央区南14条西10丁目１,学級閉鎖,2014/12/16,2014/12/18,５年,37
札幌市立,幌西小学校,札幌市中央区南10条西17丁目,学級閉鎖,2014/12/16,2014/12/18,２年,32
札幌市立,幌南小学校,札幌市中央区南21条西5丁目,学級閉鎖,2014/12/16,2014/12/19,５年,33
札幌市立,円山小学校,札幌市中央区北1条西25丁目,学級閉鎖,2014/12/17,2014/12/21,４年,33
札幌市立,二条小学校,札幌市中央区南２条西１５丁目,学級閉鎖,2014/12/16,2014/12/20,１年,27
札幌市立,二条小学校,札幌市中央区南２条西１５丁目,学級閉鎖,2014/12/16,2014/12/20,２年,28
札幌市立,二条小学校,札幌市中央区南２条西１５丁目,学級閉鎖,2014/12/16,2014/12/20,３年,31
札幌市立,日新小学校,札幌市中央区北8条西25丁目,学年閉鎖,2014/12/16,2014/12/18,５年,97
札幌市立,日新小学校,札幌市中央区北8条西25丁目,学級閉鎖,2014/12/16,2014/12/18,６年,29
札幌市立,日新小学校,札幌市中央区北8条西25丁目,学級閉鎖,2014/12/18,2014/12/20,６年,29
札幌市立,緑丘小学校,札幌市中央区南10条西22丁目,学級閉鎖,2014/12/16,2014/12/18,１年,30
札幌市立,緑丘小学校,札幌市中央区南10条西22丁目,学級閉鎖,2014/12/16,2014/12/18,２年,33
札幌市立,緑丘小学校,札幌市中央区南10条西22丁目,学級閉鎖,2014/12/16,2014/12/18,６年,36
札幌市立,緑丘小学校,札幌市中央区南10条西22丁目,学級閉鎖,2014/12/18,2014/12/20,１年,30
札幌市立,宮の森小学校,札幌市中央区宮の森4条6丁目1,学級閉鎖,2014/12/16,2014/12/19,４年,40
札幌市立,宮の森小学校,札幌市中央区宮の森4条6丁目1,学級閉鎖,2014/12/16,2014/12/19,６年,35
札幌市立,宮の森小学校,札幌市中央区宮の森4条6丁目1,学級閉鎖,2014/12/16,2014/12/19,６年,36
札幌市立,宮の森小学校,札幌市中央区宮の森4条6丁目1,学級閉鎖,2014/12/18,2014/12/22,５年,39
札幌市立,伏見小学校,札幌市中央区南18条西15丁目１－１,学級閉鎖,2014/12/16,2014/12/20,１年,30
札幌市立,伏見小学校,札幌市中央区南18条西15丁目１－１,学級閉鎖,2014/12/16,2014/12/20,１年,31
札幌市立,伏見小学校,札幌市中央区南18条西15丁目１－１,学級閉鎖,2014/12/17,2014/12/21,１年,28
札幌市立,伏見小学校,札幌市中央区南18条西15丁目１－１,学級閉鎖,2014/12/18,2014/12/21,３年,33
札幌市立,伏見小学校,札幌市中央区南18条西15丁目１－１,学級閉鎖,2014/12/18,2014/12/21,,6
札幌市立,伏見小学校,札幌市中央区南18条西15丁目１－１,学級閉鎖,2014/12/18,2014/12/21,,7
札幌市立,伏見小学校,札幌市中央区南18条西15丁目１－１,学級閉鎖,2014/12/18,2014/12/21,,7
札幌市立,山鼻南小学校,札幌市中央区南29条西12丁目1番1号,学年閉鎖,2014/12/16,2014/12/18,５年,63
札幌市立,山鼻南小学校,札幌市中央区南29条西12丁目1番1号,学年閉鎖,2014/12/17,2014/12/19,１年,46
札幌市立,白楊小学校,札幌市北区北二十四条西７丁目,学級閉鎖,2014/12/16,2014/12/18,６年,39
札幌市立,新陽小学校,札幌市北区北27条西14丁目,学級閉鎖,2014/12/16,2014/12/19,３年,31
札幌市立,北陽小学校,札幌市北区北31条西9丁目2-1,学級閉鎖,2014/12/16,2014/12/18,６年,29
札幌市立,北陽小学校,札幌市北区北31条西9丁目2-1,学級閉鎖,2014/12/17,2014/12/21,４年,26
札幌市立,あいの里西小学校,札幌市北区あいの里二条三丁目9番1号,学級閉鎖,2014/12/16,2014/12/18,５年,32
札幌市立,百合が原小学校,札幌市北区百合が原6丁目,学級閉鎖,2014/12/16,2014/12/19,１年,33
札幌市立,百合が原小学校,札幌市北区百合が原6丁目,学級閉鎖,2014/12/16,2014/12/19,２年,34
札幌市立,百合が原小学校,札幌市北区百合が原6丁目,学年閉鎖,2014/12/16,2014/12/19,６年,112
札幌市立,百合が原小学校,札幌市北区百合が原6丁目,学級閉鎖,2014/12/18,2014/12/21,１年,32
札幌市立,百合が原小学校,札幌市北区百合が原6丁目,学級閉鎖,2014/12/18,2014/12/21,２年,33
