City,School,Address,Type,Start,End,Grade,Count
札幌市立,幌北小学校,札幌市北区北19条西2丁目,学級閉鎖,2015/02/10,2015/02/12,５年,29
札幌市立,太平小学校,札幌市北区篠路一条二丁目６－２０,学級閉鎖,2015/02/10,2015/02/12,４年,34
札幌市立,太平小学校,札幌市北区篠路一条二丁目６－２０,学級閉鎖,2015/02/10,2015/02/12,６年,38
札幌市立,東札幌小学校,札幌市白石区東札幌４条５丁目4-20,学級閉鎖,2015/02/10,2015/02/12,１年,29
札幌市立,東札幌小学校,札幌市白石区東札幌４条５丁目4-20,学級閉鎖,2015/02/10,2015/02/12,６年,34
札幌市立,東川下小学校,札幌市白石区川下四条,学級閉鎖,2015/02/10,2015/02/12,１年,20
札幌市立,青葉小学校,札幌市厚別区青葉町6丁目,学年閉鎖,2015/02/10,2015/02/12,５年,42
札幌市立,厚別北小学校,札幌市厚別区厚別北2条3丁目3-1,学級閉鎖,2015/02/10,2015/02/12,２年,30
札幌市立,厚別北小学校,札幌市厚別区厚別北2条3丁目3-1,学級閉鎖,2015/02/10,2015/02/12,４年,34
札幌市立,厚別北小学校,札幌市厚別区厚別北2条3丁目3-1,学級閉鎖,2015/02/10,2015/02/12,４年,34
札幌市立,上野幌西小学校,札幌市厚別区上野幌1条2丁目6-1,学年閉鎖,2015/02/10,2015/02/13,２年,29
札幌市立,上野幌西小学校,札幌市厚別区上野幌1条2丁目6-1,学年閉鎖,2015/02/10,2015/02/13,４年,32
札幌市立,上野幌西小学校,札幌市厚別区上野幌1条2丁目6-1,学級閉鎖,2015/02/10,2015/02/13,５年,19
札幌市立,三里塚小学校,札幌市清田区里塚二条六丁目七番一号,学級閉鎖,2015/02/10,2015/02/12,５年,28
札幌市立,清田緑小学校,札幌市清田区清田7条3丁目,学級閉鎖,2015/02/10,2015/02/13,２年,31
札幌市立,清田緑小学校,札幌市清田区清田7条3丁目,学級閉鎖,2015/02/10,2015/02/13,２年,31
札幌市立,琴似小学校,札幌市西区琴似二条,学級閉鎖,2015/02/10,2015/02/12,４年,38
札幌市立,西野第二小学校,札幌市西区西野8条7丁目,学級閉鎖,2015/02/10,2015/02/12,２年,29
札幌市立,富丘小学校,札幌市手稲区富丘一条,学級閉鎖,2015/02/10,2015/02/12,２年,29
札幌市立,上野幌中学校,札幌市厚別区上野幌2条3丁目10番1号,学級閉鎖,2015/02/10,2015/02/12,１年,32
札幌市立,北野台中学校札幌市清田区北野四条四丁目十三番一号学級閉鎖2015/02/10(火)2015/02/12(木)３年27北海道札幌新川高等学校,札幌市北区新川5条14丁目1番1号,学級閉鎖,2015/02/10,2015/02/12,２年,40
札幌市立,東札幌小学校,札幌市白石区東札幌４条５丁目4-20,学級閉鎖,2015/02/11,2015/02/15,１年,29
札幌市立,美園小学校,札幌市豊平区平岸5条7丁目,学級閉鎖,2015/02/11,2015/02/15,２年,27
札幌市立,羊丘小学校,札幌市豊平区月寒東1条16丁目,学級閉鎖,2015/02/11,2015/02/15,１年,28
札幌市立,清田緑小学校,札幌市清田区清田7条3丁目,学級閉鎖,2015/02/11,2015/02/14,２年,31
札幌市立,手稲中央小学校,札幌市手稲区手稲本町3条2丁目,学級閉鎖,2015/02/11,2015/02/15,,3
札幌市立,手稲中央小学校,札幌市手稲区手稲本町3条2丁目,学級閉鎖,2015/02/11,2015/02/15,,5
札幌市立,手稲中央小学校,札幌市手稲区手稲本町3条2丁目,学級閉鎖,2015/02/11,2015/02/15,,5
札幌市立,前田北小学校,札幌市手稲区前田10条18丁目,学級閉鎖,2015/02/10,2015/02/12,３年,27
