City,School,Address,Type,Start,End,Grade,Count
札幌市立,東園小学校,札幌市豊平区豊平一条,学年閉鎖,2015/02/13,2015/02/16,５年,70
札幌市立,東園小学校,札幌市豊平区豊平一条,学級閉鎖,2015/02/13,2015/02/16,２年,25
札幌市立,手稲山口小学校,札幌市手稲区曙11条2丁目7番1号,学級閉鎖,2015/02/13,2015/02/16,３年,31
札幌市立,青葉小学校,札幌市厚別区青葉町6丁目,学年閉鎖,2015/02/14,2015/02/17,６年,32
札幌市立,手稲山口小学校,札幌市手稲区曙11条2丁目7番1号,学級閉鎖,2015/02/14,2015/02/17,３年,33
札幌市立,前田中央小学校,札幌市手稲区前田８条１２丁目２－１,学級閉鎖,2015/02/14,2015/02/18,４年,27
札幌市立,前田中央小学校,札幌市手稲区前田８条１２丁目２－１,学級閉鎖,2015/02/14,2015/02/18,４年,27
札幌市立,上野幌中学校,札幌市厚別区上野幌2条3丁目10番1号,学年閉鎖,2015/02/14,2015/02/16,２年,73
