City,School,Address,Type,Start,End,Grade,Count
札幌市立,円山小学校,中央区北1条西25丁目,学級閉鎖,2014/12/06,2014/12/10,３年,37
札幌市立,伏見小学校,中央区南18条西15丁目１－１,学級閉鎖,2014/12/05,2014/12/08,４年,40
札幌市立,新陽小学校,北区北27条西14丁目,学級閉鎖,2014/12/06,2014/12/09,１年,33
札幌市立,新陽小学校,北区北27条西14丁目,学級閉鎖,2014/12/06,2014/12/09,２年,25
札幌市立,札苗小学校,東区東苗穂7条2丁目3-1,学級閉鎖,2014/12/05,2014/12/08,１年,33
札幌市立,札苗小学校,東区東苗穂7条2丁目3-1,学級閉鎖,2014/12/05,2014/12/08,６年,29
札幌市立,札苗小学校,東区東苗穂7条2丁目3-1,学級閉鎖,2014/12/06,2014/12/09,４年,30
札幌市立,札苗小学校,東区東苗穂7条2丁目3-1,学級閉鎖,2014/12/06,2014/12/09,６年,29
札幌市立,札苗緑小学校,東区東苗穂１３条４丁目９－３０,学級閉鎖,2014/12/05,2014/12/08,４年,32
